"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"2005943705879076975","Tue Dec 30 10:07:02 +0000 2025","1","Kapolri Jenderal Listyo Sigit Prabowo menyatakan Polri membuka layanan servis dan cuci motor gratis bagi warga terdampak bencana banjir dan longsor di Aceh Sumatera Utara dan Sumatera Barat. Layanan tersebut disiapkan agar kendaraan roda dua milik warga yang sempat rusak https://t.co/DewH0EEpSh","2005943705879076975","https://pbs.twimg.com/media/G9aKjFaaYAIIHDk.jpg","","in","","0","0","1","https://x.com/undefined/status/2005943705879076975","48359478",
"2005857909486522586","Tue Dec 30 04:26:07 +0000 2025","1","Sampai saat ini tercatat masih banyak warga yang terpaksa mengungsi pasca bencana yang terjadi di Sumatera. Banjir yang melanda Sumatera meninggalkan banyak kerugian dan kesedihan yang mendalam. Sejumlah wilayah terdampak banjir masih membutuhkan perhatian serius dan aksi https://t.co/AwhwHPRx91","2005857909486522586","https://pbs.twimg.com/media/G9Y8vIkbgAAUVKD.jpg","","in","","0","2","1","https://x.com/undefined/status/2005857909486522586","109865696",
"2005126924755206428","Sun Dec 28 04:01:26 +0000 2025","0","Prabowo Pulihkan PascaBencana banjir di Sumatera. Pembangunan Rumah Korban Bencana terus dipercepat agar hunian sementara selesai sehingga warga tidak perlu bertahan lama di tenda pengungsian. https://t.co/PS2e7XxkKg","2005126924755206428","https://pbs.twimg.com/ext_tw_video_thumb/2005126861899329536/pu/img/VUkRgl3j21NMButF.jpg","","in","","0","0","0","https://x.com/undefined/status/2005126924755206428","187790975",
"2005507080145564106","Mon Dec 29 05:12:03 +0000 2025","0","KSAD Ungkap Dugaan Sabotase Jembatan Saat Pemulihan Banjir Sumatera KSAD Jenderal Maruli Simanjuntak menyampaikan perkembangan pemulihan pascabencana banjir bandang dan longsor di Aceh Sumatera Utara dan Sumatera Barat Dalam konferensi pers Maruli menyoroti proses rehabilitasi https://t.co/5EEulFpqUx","2005507080145564106","https://pbs.twimg.com/amplify_video_thumb/2005504956011536384/img/G8E2wDF7WUmastgz.jpg","","in","","0","0","0","https://x.com/undefined/status/2005507080145564106","1924680830577999872",
"2005601205205217576","Mon Dec 29 11:26:04 +0000 2025","0","Presiden Prabowo Subianto berencana menyambut pergantian tahun baru di daerah terdampak banjir dan longsor di wilayah Sumatera. Rencana tersebut disampaikan Menteri Sekretaris Negara Prasetyo Hadi usai konferensi pers penanganan bencana di Lanud Halim Perdanakusuma Jakarta https://t.co/o5en2IZHuo","2005601205205217576","https://pbs.twimg.com/media/G9VTqTpbQAAIXcl.jpg","","in","","0","0","0","https://x.com/undefined/status/2005601205205217576","48359478",
"2005469173904978305","Mon Dec 29 02:41:25 +0000 2025","21","Rangka Mulai Terpasang Progres Pembangunan Hunian Sementara di Sumbar Makin Terlihat Progres pembangunan hunian sementara (huntara) bagi warga terdampak bencana banjir dan tanah longsor di Sumatera Barat (Sumbar) menunjukkan kemajuan signifikan hingga akhir Desember 2025 https://t.co/ce7M0NovYv","2005469173904978305","https://pbs.twimg.com/amplify_video_thumb/2005469049996951552/img/LFQDfJ8QeMH1NYT8.jpg","","in","","1","5","19","https://x.com/undefined/status/2005469173904978305","382522068",
"2005127114333606198","Sun Dec 28 04:02:12 +0000 2025","0","Presiden Prabowo menegaskan Prabowo Pulihkan PascaBencana banjir Sumatera lewat Pembangunan Rumah Korban Bencana agar warga segera keluar dari tenda dan kembali hidup layak https://t.co/59zbzVJgy0","2005127114333606198","https://pbs.twimg.com/ext_tw_video_thumb/2005127067751645185/pu/img/xuqU5NvAVjwmHgIQ.jpg","","in","","0","0","1","https://x.com/undefined/status/2005127114333606198","1598186106230448129",
"1993660947022627223","Wed Nov 26 12:39:44 +0000 2025","566","Siklon Tropis Senyar Terbentuk BMKG Minta Siaga Cuaca Ekstrem di Aceh dan Sumut Jakarta 26 November 2025 Badan Meteorologi Klimatologi dan Geofisika (BMKG) memantau Bibit Siklon 95B di kawasan Selat Malaka bagian timur Aceh telah berevolusi menjadi Siklon Tropis Senyar https://t.co/7Mm5vwwaDV","1993660947022627223","https://pbs.twimg.com/media/G6rnmflbgAAIvoL.jpg","","in","","42","9","285","https://x.com/undefined/status/1993660947022627223","108543358",
"1993265908895432932","Tue Nov 25 10:30:00 +0000 2025","780","Banjir bandang melanda Sumatra Utara Selasa (25/11). Sebanyak tujuh kabupaten/kota terdampak menurut BPBD setempat. Hingga Selasa (25/11) siang sebanyak empat orang dilaporkan meninggal dunia. https://t.co/TxhtWvHgQG","1993265908895432932","https://pbs.twimg.com/amplify_video_thumb/1993248617914859520/img/kDzmJTQOdE2ro-wZ.jpg","","in","","16","19","451","https://x.com/undefined/status/1993265908895432932","23772644",
"1996030956424364100","Wed Dec 03 01:37:19 +0000 2025","440"," Panggilan untuk seluruh ARMY Indonesia Saudara-saudara kita di Sumatra lagi ada di titik paling berat setelah banjir bandang dan longsor melanda Sumatra Barat Sumatra Utara dan Aceh. https://t.co/3XGuO8t8Gg","1996030956424364100","https://pbs.twimg.com/media/G7NTknpbgAUKtGV.jpg","","in","","1","2","333","https://x.com/undefined/status/1996030956424364100","964870087558787073",
"2004142061772329082","Thu Dec 25 10:47:57 +0000 2025","273","PRAY FOR SUMBAR Galodo banjir bandang susulan terjadi lagi hari ini (25/12/2025) Muaro Pisang Maninjau Sumbar. : gadihbujangminangkabau https://t.co/9AfVfjeboH","2004142061772329082","https://pbs.twimg.com/ext_tw_video_thumb/2004142018034126850/pu/img/jR_FKxp9bA6N0gVv.jpg","","in","","1","9","158","https://x.com/undefined/status/2004142061772329082","1251824880967774208",
"1994235785403645970","Fri Nov 28 02:43:57 +0000 2025","317","Jembatan penghubung ambruk akibat longsor warga Nekad menyebrang sungai berarus kencang hanya dengan berpegangan pada kabel listrik. (27/11) #PrayForSumatera Tapsel : DiskisRG Presiden Prabowo Instruksikan Semua jajaran untuk serius tangani bencana banjir dan longsor yang https://t.co/78QpdtHMsN","1994235785403645970","https://pbs.twimg.com/ext_tw_video_thumb/1994235738431606793/pu/img/1Uwom6AxGOi2VMFs.jpg","","in","","3","14","145","https://x.com/undefined/status/1994235785403645970","1251824880967774208",
"1999278764623298946","Fri Dec 12 00:42:56 +0000 2025","229","Mohon untuk di Share!! Berikut kami sampaikan wilayah-wilayah yang terdapat Notifikasi berpotensi untuk terjadi BANJIR dan dapat pula disertai LONGSOR. Wiayah Pulau Sumatera. Update Data Jum'at pukul 07:40 WIB 12/12/2025 (Bagian 1 dari 2 Postingan ) https://t.co/5WzVESOPfB","1999278764623298946","https://pbs.twimg.com/media/G77dbp_agAAwFf8.jpg","","in","","0","2","186","https://x.com/undefined/status/1999278764623298946","2218872146",
"2003796326148985050","Wed Dec 24 11:54:07 +0000 2025","380","Masyarakat menyelamatkan seorang warga Terbawa Arus Banjir di Samagadeng Bireuen (24 December 2025) Aceh dilanda Musibah Banjir Gelombang ke II Rabu 24 December 2025. Bireuen adalah salah satu Daerah terparah terkena Banjir Aceh - Sumatera akibat Cyclone Senyar pada https://t.co/Mo3Dktm0Mj","2003796326148985050","https://pbs.twimg.com/ext_tw_video_thumb/2003796239058677760/pu/img/PDfR0lsCxLw9b5jQ.jpg","","in","","0","6","209","https://x.com/undefined/status/2003796326148985050","9688522",
"1996469203097068002","Thu Dec 04 06:38:45 +0000 2025","6953","Data Korban Banjir Sumatra 4 Desember 2025: 776 meninggal 564 hilang 2.600 luka luka dan lebih dari 10 ribu rumah rusak.","1996469203097068002","","","in","","166","41","4305","https://x.com/undefined/status/1996469203097068002","1850558971779956736",
"1994039378910581178","Thu Nov 27 13:43:30 +0000 2025","346","‼️Pray for Sumatra‼️ Teman-teman saudara kita di berbagai wilayah dari Sumatra Utara Sumatra Barat sampai Aceh sedang mengalami banjir. Sudah ada korban jiwa dan ribuan orang harus mengungsi. Lewat thread akan Mimin share semua informasi penting terkait banjir link galag https://t.co/iu4S07Wpvz","1994039378910581178","https://pbs.twimg.com/amplify_video_thumb/1994039315949867012/img/Z-Mtf3ZhOPbYIJCA.jpg","","in","","5","2","280","https://x.com/undefined/status/1994039378910581178","862600351",
"2004378656047817122","Fri Dec 26 02:28:05 +0000 2025","242","Brace for impact another Luruan Monsun is here ‼️‼️ Heavy rain is expected across Pantai Timur &amp; Johor until 29 December 2025. ️️ DANGER LEVEL: Kelantan &amp; Terengganu SEVERE LEVEL: Kelantan Terengganu &amp; Pahang ALERT LEVEL: Kelantan Pahang Johor https://t.co/CPrkoX3MxY","2004378656047817122","https://pbs.twimg.com/media/G9D7wmmbYAAfuo6.jpg","","in","","9","0","219","https://x.com/undefined/status/2004378656047817122","96706870",
"2003817399645036798","Wed Dec 24 13:17:51 +0000 2025","623","Aceh dilanda Musibah Banjir Gelombang ke II Rabu 24 December 2025. Update 24/12/2025 Pidie Jaya - Aceh Mohon ijin untuk desa yang sudah meluap air sbb Kec. Meurah dua 1. GP. Dayah Usen 2. GP. Mancang 3. GP. Dayah kruet 4. GP. Mns Raya 5. Gp. Blang Cut 6. Gp. Buangan 7. https://t.co/WM7yIk1eaJ","2003817399645036798","https://pbs.twimg.com/ext_tw_video_thumb/2003817367265333248/pu/img/O1ojMxgUXXLOHMta.jpg","","in","","18","28","641","https://x.com/undefined/status/2003817399645036798","9688522",
"2000380704467935631","Mon Dec 15 01:41:39 +0000 2025","1336","Banjir bandang terjadi setelah hujan deras turun sejak Minggu siang. Ini merupakan banjir bandang keempat sejak 25 November. Baca di sini: https://t.co/hA5vCTMh09 ~AM #BanjirBandang #Padang #BanjirSumatera https://t.co/pHJTFL2EFD","2000380704467935631","https://pbs.twimg.com/media/G8LHpFnbwAAIkqN.jpg","","in","","42","20","850","https://x.com/undefined/status/2000380704467935631","23343960",
"1994774958778847712","Sat Nov 29 14:26:25 +0000 2025","293","Halo tes.. ke kirim ga ya? guys maaf sekali aku belum bisa update soalnya di daerahku lagi dilanda musibah banjir dan sekarang lagi krisis listrik jaringan air bahkan makanan doa terbaik untuk sumatra yaa..","1994774958778847712","","","in","","0","16","15","https://x.com/undefined/status/1994774958778847712","1765603675710648320",
"2001855035060408731","Fri Dec 19 03:20:07 +0000 2025","221","️️️️️️️️ FLOOD WATCH Flash Flood - E of Tanjungpandan Bangka Belitung Indonesia HAZARD DETAILS Southeastern Asia - Oceania Flash Flood Guidance (SAOFFG) has issued a flood Watch for December 19 2025 00:00:00 UTC through December 19 2025 08:00:00 UTC for E of","2001855035060408731","","","en","","1","0","154","https://x.com/undefined/status/2001855035060408731","2218872146",
"2002391915929665777","Sat Dec 20 14:53:30 +0000 2025","2243","️️️️️️️️️️ FLOOD WATCH Flash Flood - N of Surabaya Jawa Timur Indonesia HAZARD DETAILS Southeastern Asia - Oceania Flash Flood Guidance (SAOFFG) has issued a flood Watch for December 20 2025 12:00:00 UTC through December 20 2025 20:00:00 UTC for N of Surabaya ","2002391915929665777","","","en","","93","37","745","https://x.com/undefined/status/2002391915929665777","2218872146",
"1995356081753931842","Mon Dec 01 04:55:36 +0000 2025","491","Update Korban Banjir Sumatera: 442 Tewas 402 Hilang Baca di: https://t.co/E8hCBIeJJy https://t.co/mh96gjB0jB","1995356081753931842","https://pbs.twimg.com/media/G7Dtw9hbwAAlgrT.jpg","","in","","12","13","173","https://x.com/undefined/status/1995356081753931842","23343960",
"1994348117991317954","Fri Nov 28 10:10:19 +0000 2025","286","ayah gw udah makan belum ya tidurnya gimana ya udah lebih dari 24 jam sejak akses komunikasi diputus listrik mati dan masih susah menghubungi keluarga di kampung. bantuan juga belum merata sedangkan air semakin naik jalan kesana ditutup karena arus deras #PrayForSumatera","1994348117991317954","","","in","","0","0","48","https://x.com/undefined/status/1994348117991317954","1273308985903337473",
"2003681247294624012","Wed Dec 24 04:16:50 +0000 2025","1099","FLOOD WARNING Flood - SW of Surakarta Jawa Tengah Indonesia HAZARD DETAILS The ASEAN Disaster Information Network (ADINet) has issued a Flood Warning for December 24 2025 02:22:51 UTC through December 25 2025 02:31:22 UTC for SW of Surakarta Jawa Tengah Indonesia.","2003681247294624012","","","en","","63","12","463","https://x.com/undefined/status/2003681247294624012","2218872146",
"1995728442688405669","Tue Dec 02 05:35:14 +0000 2025","4238"," masih bingung sama orang yang nyepelein banjir di sumatera SELUAS ituuu yang terdampak https://t.co/dMjNomPNAC","1995728442688405669","https://pbs.twimg.com/media/G7JAcVaWQAAhWXt.jpg","","in","","20","31","935","https://x.com/undefined/status/1995728442688405669","1331650559518990336",
"2005965832774639818","Tue Dec 30 11:34:58 +0000 2025","1278","This afternoon the situation has worsened again today just about 15 days after the area was hit by severe flooding.(30/12) Batu Busuk Kota Padang Sumatera Barat Indonesia. https://t.co/UBi5vpIW2e","2005965832774639818","https://pbs.twimg.com/amplify_video_thumb/2005965748498558976/img/KcK2QkWHrlOlupFh.jpg","","en","","17","8","1035","https://x.com/undefined/status/2005965832774639818","1786841191159681024",
"2005865703031640296","Tue Dec 30 04:57:05 +0000 2025","0","Ada yang meragukan pernyataan BGN terkait 2 2 juta porsi MBG diberikan untuk membantu korban bencana Sumatera. Kerja Nyata BGN memastikan memiliki data terkait bantuan untuk para korban dan masyarakat terdampak banjir Sumatera. #LanjutkanMBG SPT Tahunan DPRD #thomaskong DTSEN https://t.co/xL4fiwPxyX","2005865703031640296","https://pbs.twimg.com/media/G9ZEN2TaYAApnX4.jpg","","in","","0","0","0","https://x.com/undefined/status/2005865703031640296","326453024",
"2006005540728803408","Tue Dec 30 14:12:45 +0000 2025","1","Mendikdasmen Abdul Mu'ti menyatakan pihaknya telah menyalurkan anggaran sebesar Rp25 91 miliar untuk menangani sekolah yang terdampak bencana banjir dan longsor di Aceh dan Sumatera. https://t.co/YtmlWMTVL5","2006005540728803408","","","in","","0","0","0","https://x.com/undefined/status/2006005540728803408","18071520",
"2005854422870470738","Tue Dec 30 04:12:16 +0000 2025","0","Gelondongan Kayu di Banjir Sumatera Bukti Kerusakan Hutan Sistemik Bukan Sekadar Anomali Cuaca Klik untuk baca: https://t.co/AGTQvZb6kV","2005854422870470738","","","in","","0","0","0","https://x.com/undefined/status/2005854422870470738","808582626688712704",
"2005566932871967217","Mon Dec 29 09:09:53 +0000 2025","0","600 Rumah Korban Banjir Sumatera Ditargetkan Rampung Pekan Depan Total 15.000 Unit Dibangun https://t.co/t0hVZJi3qX https://t.co/cUaOUQSpxq","2005566932871967217","https://pbs.twimg.com/media/G9U0fV4aQAAeqR3.jpg","","in","","0","0","0","https://x.com/undefined/status/2005566932871967217","1995374269417861120",
"2005494624073486600","Mon Dec 29 04:22:33 +0000 2025","1","Sebenarnya Hutan Sawit Kalimantan jauh lebih banyak drpd Sumatera .... Cuma Krn Daerahnya Landai tak bergunung dan Lembah jadi Resiko Banjir Bandangnya gak Parah seperti si Sumatera.. Senin Banjir Tahun Baru","2005494624073486600","","","in","","0","0","0","https://x.com/undefined/status/2005494624073486600","2944705567",
"2005576054820508052","Mon Dec 29 09:46:07 +0000 2025","5","Bantuan Tsunami Aceh pinjaman lunak dijadikan dasar buzzer sebelah membela pemerintah tidak menetapkan Bencana Nasional Banjir Sumatera.. Gila ya negara ngutang demi menyelamatkan hidup rakyatnya ga mau giliran bangun IKN dan Whoosh untuk segelintir orang ga pakai mikir!!!","2005576054820508052","","","in","","0","1","5","https://x.com/undefined/status/2005576054820508052","214159664",
"2005977508949463235","Tue Dec 30 12:21:22 +0000 2025","0","Mendikdasmen Abdul Mu'ti mengatakan 85 persen sekolah yang terdampak bencana banjir dan longsor di Aceh dan Sumatera sudah mulai beroperasi. https://t.co/iZkksToSaH","2005977508949463235","","","in","","0","1","0","https://x.com/undefined/status/2005977508949463235","18071520",
"2005620745595244758","Mon Dec 29 12:43:43 +0000 2025","1","Dipertanyakan Publik Seskab Ungkap Peran 53 Helikopter TNI-Polri untuk Banjir Sumatera https://t.co/S1fiiIsj0Z","2005620745595244758","","","in","","0","0","1","https://x.com/undefined/status/2005620745595244758","71436318",
"2005616328351097158","Mon Dec 29 12:26:09 +0000 2025","2","KSAD Sebut Penanganan Banjir Sumatera Tercepat Dibanding Bencana Lain https://t.co/Z6Vi4ELCGA","2005616328351097158","","","in","","0","0","0","https://x.com/undefined/status/2005616328351097158","154102750",
"2005827354611052634","Tue Dec 30 02:24:42 +0000 2025","1","Tzu Chi Indonesia Tebar Harapan: 5000 Unit Rumah Gratis untuk Korban Banjir Sumatera https://t.co/DKs2qsRfJJ","2005827354611052634","","","in","","0","0","0","https://x.com/undefined/status/2005827354611052634","1981555039820001280",
"2005889764197818469","Tue Dec 30 06:32:42 +0000 2025","4","Banjir Sumatera Berpotensi Terulang Lagi akibat Kelemahan Tata Kelola https://t.co/a5ctQbJA9J","2005889764197818469","","","in","","0","0","0","https://x.com/undefined/status/2005889764197818469","636145036",
